UNITID,PREDDEG,CURROPER,TUITIONFEE_IN,EARN_2011,GRAD_DEBT_MDN,COMPL_RPY_3YR_RT,MD_INC_RPY_5YR_RT
100654,3,1,7182,22800,33611.5,0.62,0.479740681
100663,3,1,7206,33200,23117,0.62,0.805183199
100690,3,1,6870,32800,26995,0.62,0.697
100706,3,1,9192,36700,24738,0.62,0.838709677
100724,3,1,8720,19300,33452,0.62,0.420895522
100751,3,1,9450,32900,24000,0.902272727,0.836550837
100760,2,1,4200,22700,17105,0.62,0.610837438
100812,3,1,13932.234,33300,18832,0.828817734,0.790224033
100830,3,1,8750,27500,21791,0.62,0.714821764
100858,3,1,9852,35900,22250,0.62,0.880969875
100937,3,1,30690,26800,27000,0.62,0.835294118
101028,2,1,4260,21600,7000,0.62,0.697
101073,3,1,8090,18300,26500,0.62,0.697
101116,2,1,16360,31600,27167,0.623390005,0.544868617
101143,2,1,3780,24100,11073,0.62,0.75974026
101161,2,1,4200,22400,9153,0.62,0.667405765
101189,3,1,18230,30500,23750,0.62,0.736742424
101240,2,1,3900,20200,17105,0.62,0.697
101277,1,1,13932.234,26997,9490,0.62,0.697
101286,2,1,3900,20800,17105,0.62,0.697
101295,2,1,4200,25500,11330,0.62,0.694200351
101301,2,1,3900,19600,17105,0.62,0.697
101365,1,1,11150,29300,22822,0.686295503,0.708928571
101435,3,1,23500,29700,27000,0.62,0.697
101453,3,1,9792,26997,17105,0.62,0.697
101462,1,1,3336,18400,17105,0.62,0.697
101480,3,1,7092,27000,23500,0.62,0.692537313
101499,2,1,3908,21900,17105,0.62,0.697
101505,2,1,4260,24700,10000,0.62,0.721062619
101514,2,1,4140,23500,9940,0.62,0.692421991
101541,3,1,15630,20200,26000,0.62,0.697
101569,1,1,4230,19500,17105,0.62,0.697
101587,3,1,7660,28500,22500,0.62,0.63003663
101602,1,1,4170,20800,17105,0.62,0.697
101648,2,1,8570,26100,11500,0.62,0.512195122
101675,3,1,11454,19400,36569,0.62,0.315972222
101693,3,1,18690,28600,27000,0.62,0.748898678
101709,3,1,10000,26300,23400,0.62,0.812903226
101736,2,1,4140,20400,11500,0.62,0.690962099
101879,3,1,7078,27800,21750,0.62,0.801232666
101897,2,1,4200,21300,5100,0.62,0.697
